song,artist,difficulty,chart_constant,level,version
STARGATE EXTREME,KARUT,Past,4.0,4,5.8.0
"Sign of ""10.5km""",渡部恭久,Past,3.0,3,5.8.0
Back to Basics,m1dy,Future,10.6,10,5.7.0
Twilight Concerto,Scarlette,Eternal,10.5,10,5.7.0
Beautiful Dreamer,M-Project,Future,9.9,9+,5.7.0
Old School Salvage,DJ SHARPNEL,Future,9.8,9+,5.7.0
Twilight Concerto,Scarlette,Future,9.5,9,5.7.0
Hidden Rainbows of Epicurus,SYNC.ART'S feat.Misato,Eternal,8.8,8+,5.7.0
Back to Basics,m1dy,Present,8.7,8+,5.7.0
Beautiful Dreamer,M-Project,Present,7.8,7+,5.7.0
Old School Salvage,DJ SHARPNEL,Present,7.8,7+,5.7.0
Twilight Concerto,Scarlette,Present,7.8,7+,5.7.0
Hidden Rainbows of Epicurus,SYNC.ART'S feat.Misato,Future,7.5,7,5.7.0
Hidden Rainbows of Epicurus,SYNC.ART'S feat.Misato,Present,5.5,5,5.7.0
Back to Basics,m1dy,Past,5.0,5,5.7.0
Twilight Concerto,Scarlette,Past,4.5,4,5.7.0
Beautiful Dreamer,M-Project,Past,4.0,4,5.7.0
Old School Salvage,DJ SHARPNEL,Past,4.0,4,5.7.0
Hidden Rainbows of Epicurus,SYNC.ART'S feat.Misato,Past,2.5,2,5.7.0
Distorted Fate,Sakuzyo,Eternal,10.8,10+,5.6.0
Désive,MisomyL,Eternal,10.8,10+,5.6.0
Chromafill,ていぬ,Future,10.0,10,5.6.0
Désive,MisomyL,Future,9.9,9+,5.6.0
Distorted Fate,Sakuzyo,Future,9.6,9,5.6.0
Floating World,baker feat. botan,Future,9.3,9,5.6.0
Leave All Behind,rider,Future,9.2,9,5.6.0
Désive,MisomyL,Present,8.0,8,5.6.0
Distorted Fate,Sakuzyo,Present,7.8,7+,5.6.0
Chromafill,ていぬ,Present,7.0,7,5.6.0
Floating World,baker feat. botan,Present,7.0,7,5.6.0
Leave All Behind,rider,Present,5.5,5,5.6.0
Désive,MisomyL,Past,5.0,5,5.6.0
Distorted Fate,Sakuzyo,Past,4.5,4,5.6.0
Chromafill,ていぬ,Past,4.0,4,5.6.0
Floating World,baker feat. botan,Past,3.0,3,5.6.0
Leave All Behind,rider,Past,2.0,2,5.6.0
ultradiaxon-N3,nitro (lowiro),Future,10.3,10,5.5.8
ultradiaxon-N3,nitro (lowiro),Present,8.5,8,5.5.8
ultradiaxon-N3,nitro (lowiro),Past,4.5,4,5.5.8
MIRINAE,TAK × Zekk,Future,10.4,10,5.5.0
Lethal Voltage,siqlo,Future,10.4,10,5.5.0
MORNINGLOOM,saaa,Eternal,9.8,9+,5.5.0
Awaken In Ruins,Supa7onyz,Future,9.7,9+,5.5.0
〇、,Kolaa & 熊子,Future,9.5,9,5.5.0
HELLOHELL,暁Records,Eternal,9.3,9,5.5.0
MORNINGLOOM,saaa,Future,8.8,8+,5.5.0
MIRINAE,TAK × Zekk,Present,8.3,8,5.5.0
Lethal Voltage,siqlo,Present,7.8,7+,5.5.0
HELLOHELL,暁Records,Future,7.5,7,5.5.0
Awaken In Ruins,Supa7onyz,Present,7.5,7,5.5.0
MORNINGLOOM,saaa,Present,6.5,6,5.5.0
〇、,Kolaa & 熊子,Present,6.5,6,5.5.0
HELLOHELL,暁Records,Present,5.0,5,5.5.0
Lethal Voltage,siqlo,Past,4.5,4,5.5.0
MIRINAE,TAK × Zekk,Past,4.5,4,5.5.0
Awaken In Ruins,Supa7onyz,Past,3.5,3,5.5.0
MORNINGLOOM,saaa,Past,3.0,3,5.5.0
HELLOHELL,暁Records,Past,2.5,2,5.5.0
〇、,Kolaa & 熊子,Past,2.5,2,5.5.0
KYOREN ROMANCE,REDALiCE vs DJ Myosuke feat. DELUTAYA,Future,10.7,10+,5.4.0
Aleph-0,LeaF,Future,10.5,10,5.4.0
Qovat,owl＊tree,Future,10.4,10,5.4.0
Masquerade Legion,Srav3R & DJ Noriken,Future,10.0,10,5.4.0
IONOSTREAM,Tatsh,Eternal,9.7,9+,5.4.0
Innocence,Powerless feat. Sennzai,Eternal,9.7,9+,5.4.0
Jingle,DJ Noriken,Eternal,9.5,9,5.4.0
Suomi,Aire,Eternal,8.9,8+,5.4.0
Clotho and the stargazer,しーけー,Eternal,8.8,8+,5.4.0
Aleph-0,LeaF,Present,8.8,8+,5.4.0
IONOSTREAM,Tatsh,Future,8.7,8+,5.4.0
Innocence,Powerless feat. Sennzai,Future,8.5,8,5.4.0
Sayonara Hatsukoi,REDSHiFT,Eternal,8.5,8,5.4.0
Qovat,owl＊tree,Present,8.2,8,5.4.0
Jingle,DJ Noriken,Future,7.8,7+,5.4.0
KYOREN ROMANCE,REDALiCE vs DJ Myosuke feat. DELUTAYA,Present,7.8,7+,5.4.0
Innocence,Powerless feat. Sennzai,Present,6.5,6,5.4.0
Masquerade Legion,Srav3R & DJ Noriken,Present,6.5,6,5.4.0
IONOSTREAM,Tatsh,Present,6.0,6,5.4.0
Jingle,DJ Noriken,Present,5.5,5,5.4.0
Aleph-0,LeaF,Past,5.5,5,5.4.0
Qovat,owl＊tree,Past,4.5,4,5.4.0
KYOREN ROMANCE,REDALiCE vs DJ Myosuke feat. DELUTAYA,Past,4.0,4,5.4.0
IONOSTREAM,Tatsh,Past,3.5,3,5.4.0
Masquerade Legion,Srav3R & DJ Noriken,Past,3.5,3,5.4.0
Innocence,Powerless feat. Sennzai,Past,3.0,3,5.4.0
Jingle,DJ Noriken,Past,2.5,2,5.4.0
Vicious [ANTi] Heroism,Kobaryo,Beyond,11.2,11,5.3.0
Einherjar Joker,DJ Genki vs Gram,Beyond,10.9,10+,5.3.0
Purple Verse,Hommarju,Beyond,10.6,10,5.3.0
Libertas,Zekk,Beyond,10.5,10,5.3.0
Cybernecia Catharsis,Tanchiky,Beyond,9.8,9+,5.3.0
Oblivia,Saiph,Beyond,9.7,9+,5.3.0
Luna Rossa,r0y,Future,9.7,9+,5.3.0
inkar-usi,DIA,Beyond,9.4,9,5.3.0
The Formula,Junk,Future,9.3,9,5.3.0
Luna Rossa,r0y,Present,6.0,6,5.3.0
The Formula,Junk,Present,6.0,6,5.3.0
Luna Rossa,r0y,Past,3.0,3,5.3.0
The Formula,Junk,Past,3.0,3,5.3.0
Hotarubi no Yuki,Endorfin.,Future,9.7,9+,5.2.6
Hotarubi no Yuki,Endorfin.,Present,7.0,7,5.2.6
Hotarubi no Yuki,Endorfin.,Past,3.5,3,5.2.6
Kanbu de Tomatte Sugu Tokeru,ARM＋夕野ヨシミ (IOSYS) feat. miko,Future,10.1,10,5.2.2
LIVHT MY WΔY,かめりあ feat. STΔRLIVHT,Future,9.8,9+,5.2.2
On And On!! feat. Jenga,ETIA.,Future,9.5,9,5.2.2
felys final remix,onoken,Future,9.5,9,5.2.2
Kanbu de Tomatte Sugu Tokeru,ARM＋夕野ヨシミ (IOSYS) feat. miko,Present,7.5,7,5.2.2
LIVHT MY WΔY,かめりあ feat. STΔRLIVHT,Present,7.5,7,5.2.2
On And On!! feat. Jenga,ETIA.,Present,7.0,7,5.2.2
felys final remix,onoken,Present,6.5,6,5.2.2
LIVHT MY WΔY,かめりあ feat. STΔRLIVHT,Past,4.5,4,5.2.2
Kanbu de Tomatte Sugu Tokeru,ARM＋夕野ヨシミ (IOSYS) feat. miko,Past,4.0,4,5.2.2
On And On!! feat. Jenga,ETIA.,Past,3.0,3,5.2.2
felys final remix,onoken,Past,3.0,3,5.2.2
Meta-Mysteria,DJ Noriken,Future,10.8,10+,5.2.0
Wish Upon a Snow,打打だいず,Future,10.5,10,5.2.0
XTREME,USAO,Future,10.5,10,5.2.0
eden,"""漆黒""の堕天使《Gram》†Versus†""聖刻""の熾天使《Gram》",Future,10.5,10,5.2.0
Ouvertüre,USAO & DJ Genki feat. ルーン(CV:河瀬茉希),Future,9.8,9+,5.2.0
Alone & Lorn,Ponchi♪ feat.はぁち,Future,9.6,9,5.2.0
Stratoliner,C-Show,Future,9.6,9,5.2.0
eden,"""漆黒""の堕天使《Gram》†Versus†""聖刻""の熾天使《Gram》",Present,8.2,8,5.2.0
Meta-Mysteria,DJ Noriken,Present,7.8,7+,5.2.0
XTREME,USAO,Present,7.8,7+,5.2.0
Ouvertüre,USAO & DJ Genki feat. ルーン(CV:河瀬茉希),Present,7.5,7,5.2.0
Wish Upon a Snow,打打だいず,Present,7.5,7,5.2.0
Alone & Lorn,Ponchi♪ feat.はぁち,Present,6.5,6,5.2.0
Stratoliner,C-Show,Present,6.5,6,5.2.0
Meta-Mysteria,DJ Noriken,Past,5.0,5,5.2.0
Wish Upon a Snow,打打だいず,Past,4.5,4,5.2.0
XTREME,USAO,Past,4.5,4,5.2.0
eden,"""漆黒""の堕天使《Gram》†Versus†""聖刻""の熾天使《Gram》",Past,4.5,4,5.2.0
Stratoliner,C-Show,Past,3.5,3,5.2.0
Alone & Lorn,Ponchi♪ feat.はぁち,Past,3.0,3,5.2.0
Ouvertüre,USAO & DJ Genki feat. ルーン(CV:河瀬茉希),Past,2.5,2,5.2.0
TeraVolt,Katali,Future,10.8,10+,5.1.0
Nameless Passion,天束 feat.Sennzai,Future,9.8,9+,5.1.0
Transient Space,"sleepless, Gardens, aspect",Future,9.5,9,5.1.0
FANTA5Y,Moon Jelly & YUKIYANAGI,Future,9.4,9,5.1.0
TeraVolt,Katali,Present,8.9,8+,5.1.0
FANTA5Y,Moon Jelly & YUKIYANAGI,Present,7.0,7,5.1.0
Nameless Passion,天束 feat.Sennzai,Present,7.0,7,5.1.0
Transient Space,"sleepless, Gardens, aspect",Present,7.0,7,5.1.0
TeraVolt,Katali,Past,5.0,5,5.1.0
FANTA5Y,Moon Jelly & YUKIYANAGI,Past,3.0,3,5.1.0
Nameless Passion,天束 feat.Sennzai,Past,3.0,3,5.1.0
Transient Space,"sleepless, Gardens, aspect",Past,2.5,2,5.1.0
Arghena,Feryquitous vs Laur,Future,11.3,11,5.0.0
Ego Eimi,BlackY feat. Risa Yuzuki,Future,10.5,10,5.0.0
Logos,polysha feat. 高城みよ,Future,10.2,10,5.0.0
Amekagura,荒谷サトル,Future,9.9,9+,5.0.0
Technicolour,Maozon,Future,9.8,9+,5.0.0
B.B.K.K.B.K.K.,nora2r,Future,9.7,9+,5.0.0
Remind the Souls (Short Version),Nhato,Future,9.6,9,5.0.0
Arghena,Feryquitous vs Laur,Present,9.6,9,5.0.0
Dynitikós,Prower,Future,9.5,9,5.0.0
Primeval Texture,くるぶっこちゃん,Future,9.0,9,5.0.0
Ego Eimi,BlackY feat. Risa Yuzuki,Present,8.6,8,5.0.0
Logos,polysha feat. 高城みよ,Present,7.8,7+,5.0.0
Amekagura,荒谷サトル,Present,7.5,7,5.0.0
Dynitikós,Prower,Present,7.5,7,5.0.0
Primeval Texture,くるぶっこちゃん,Present,7.5,7,5.0.0
Arghena,Feryquitous vs Laur,Past,7.5,7,5.0.0
B.B.K.K.B.K.K.,nora2r,Present,7.0,7,5.0.0
Remind the Souls (Short Version),Nhato,Present,7.0,7,5.0.0
Technicolour,Maozon,Present,7.0,7,5.0.0
Ego Eimi,BlackY feat. Risa Yuzuki,Past,5.5,5,5.0.0
B.B.K.K.B.K.K.,nora2r,Past,4.5,4,5.0.0
Amekagura,荒谷サトル,Past,4.0,4,5.0.0
Dynitikós,Prower,Past,4.0,4,5.0.0
Logos,polysha feat. 高城みよ,Past,4.0,4,5.0.0
Remind the Souls (Short Version),Nhato,Past,3.5,3,5.0.0
Technicolour,Maozon,Past,3.5,3,5.0.0
Primeval Texture,くるぶっこちゃん,Past,3.0,3,5.0.0
Kanjou no Matenrou ～Arr.Demetori,Demetori,Future,9.8,9+,4.7.2
To the Furthest Dream,ii/night feat. 綺良雪,Future,9.8,9+,4.7.2
To the Furthest Dream,ii/night feat. 綺良雪,Present,8.5,8,4.7.2
Kanjou no Matenrou ～Arr.Demetori,Demetori,Present,6.5,6,4.7.2
To the Furthest Dream,ii/night feat. 綺良雪,Past,4.5,4,4.7.2
Kanjou no Matenrou ～Arr.Demetori,Demetori,Past,3.5,3,4.7.2
Abstruse Dilemma,Ashrount vs. 打打だいず,Future,11.3,11,4.7.0
UNKNOWN LEVELS,Yuta Imai,Future,10.6,10,4.7.0
Rise of the World,cosMo＠暴走P,Future,10.5,10,4.7.0
RGB,MEMODEMO X AQUASINE,Future,9.8,9+,4.7.0
SACRIFICE feat. ayame,Masayoshi Minoshima(ALR),Future,9.7,9+,4.7.0
Raven's Pride,みーに feat. はらもりよしな,Future,9.4,9,4.7.0
Abstruse Dilemma,Ashrount vs. 打打だいず,Present,8.9,8+,4.7.0
WAIT FOR DAWN,U-ske feat. 棗いつき,Future,8.7,8+,4.7.0
Rise of the World,cosMo＠暴走P,Present,8.1,8,4.7.0
UNKNOWN LEVELS,Yuta Imai,Present,8.1,8,4.7.0
RGB,MEMODEMO X AQUASINE,Present,7.8,7+,4.7.0
WAIT FOR DAWN,U-ske feat. 棗いつき,Present,7.8,7+,4.7.0
SACRIFICE feat. ayame,Masayoshi Minoshima(ALR),Present,7.5,7,4.7.0
Raven's Pride,みーに feat. はらもりよしな,Present,7.0,7,4.7.0
Abstruse Dilemma,Ashrount vs. 打打だいず,Past,5.5,5,4.7.0
Rise of the World,cosMo＠暴走P,Past,4.5,4,4.7.0
RGB,MEMODEMO X AQUASINE,Past,4.0,4,4.7.0
UNKNOWN LEVELS,Yuta Imai,Past,4.0,4,4.7.0
SACRIFICE feat. ayame,Masayoshi Minoshima(ALR),Past,3.5,3,4.7.0
Raven's Pride,みーに feat. はらもりよしな,Past,3.0,3,4.7.0
WAIT FOR DAWN,U-ske feat. 棗いつき,Past,2.5,2,4.7.0
͟͝͞Ⅱ́̕,Cytus,Future,10.8,10+,4.6.0
99 Glooms,Sta,Future,10.3,10,4.6.0
Magnolia,M2U Vocal by Guriri,Future,10.2,10,4.6.0
Ultimate taste,ぱらどっと,Future,9.9,9+,4.6.0
DRG,onoken,Future,9.4,9,4.6.0
͟͝͞Ⅱ́̕,Cytus,Present,8.9,8+,4.6.0
syūten,"Apo11o""COLLAPSAR""program ft. 大瀬良あい",Future,8.5,8,4.6.0
99 Glooms,Sta,Present,7.8,7+,4.6.0
Magnolia,M2U Vocal by Guriri,Present,7.8,7+,4.6.0
DRG,onoken,Present,7.0,7,4.6.0
Ultimate taste,ぱらどっと,Present,6.5,6,4.6.0
syūten,"Apo11o""COLLAPSAR""program ft. 大瀬良あい",Present,5.0,5,4.6.0
͟͝͞Ⅱ́̕,Cytus,Past,5.0,5,4.6.0
Magnolia,M2U Vocal by Guriri,Past,4.5,4,4.6.0
99 Glooms,Sta,Past,4.0,4,4.6.0
DRG,onoken,Past,3.5,3,4.6.0
Ultimate taste,ぱらどっと,Past,3.5,3,4.6.0
syūten,"Apo11o""COLLAPSAR""program ft. 大瀬良あい",Past,2.0,2,4.6.0
CHAOS,Æsir,Future,10.9,10+,4.5.0
Lucid Traveler,Akira Complex vs 3R2,Future,10.5,10,4.5.0
Devillic Sphere,3R2,Future,9.9,9+,4.5.0
INTERNET YAMERO,Aiobahn feat. KOTOKO,Future,9.9,10,4.5.0
Used to be,KIVΛ,Future,9.2,9,4.5.0
Lucid Traveler,Akira Complex vs 3R2,Present,8.9,8+,4.5.0
Bullet Waiting for Me (James Landino remix),Nikki Simmons,Future,8.1,8,4.5.0
Devillic Sphere,3R2,Present,7.8,7+,4.5.0
INTERNET YAMERO,Aiobahn feat. KOTOKO,Present,7.8,7+,4.5.0
CHAOS,Æsir,Present,7.5,7,4.5.0
Used to be,KIVΛ,Present,6.5,6,4.5.0
CHAOS,Æsir,Past,5.5,5,4.5.0
Bullet Waiting for Me (James Landino remix),Nikki Simmons,Present,4.5,4,4.5.0
INTERNET YAMERO,Aiobahn feat. KOTOKO,Past,4.5,4,4.5.0
Lucid Traveler,Akira Complex vs 3R2,Past,4.5,4,4.5.0
Devillic Sphere,3R2,Past,4.0,4,4.5.0
Used to be,KIVΛ,Past,4.0,4,4.5.0
Bullet Waiting for Me (James Landino remix),Nikki Simmons,Past,2.5,2,4.5.0
To the Milky Way,黒魔,Future,10.4,10,4.4.6
Hybris (The one who shattered),qfeileadh feat.のあ,Future,9.8,9+,4.4.6
Lost in the Abyss,FELT,Future,9.7,9+,4.4.6
Galactic Love,La prière,Future,9.0,9,4.4.6
Lawless Point,La prière,Future,9.0,9,4.4.6
To the Milky Way,黒魔,Present,8.9,8+,4.4.6
Hybris (The one who shattered),qfeileadh feat.のあ,Present,7.8,7+,4.4.6
Galactic Love,La prière,Present,6.5,6,4.4.6
Lost in the Abyss,FELT,Present,6.5,6,4.4.6
Lawless Point,La prière,Present,6.0,6,4.4.6
To the Milky Way,黒魔,Past,5.0,5,4.4.6
Hybris (The one who shattered),qfeileadh feat.のあ,Past,4.5,4,4.4.6
Lost in the Abyss,FELT,Past,3.5,3,4.4.6
Galactic Love,La prière,Past,3.0,3,4.4.6
Lawless Point,La prière,Past,3.0,3,4.4.6
New York Back Raise,saaa + kei_iwata + stuv + わかどり,Future,9.9,9+,4.4.4
The Survivor (Game Edit),Taishi,Future,9.9,9+,4.4.4
GIMMICK,Ms.Sill,Future,9.5,9,4.4.4
Lost Emotion feat. nomico,Masayoshi Minoshima(ALR),Future,9.3,9,4.4.4
Lost Emotion feat. nomico,Masayoshi Minoshima(ALR),Present,7.0,7,4.4.4
New York Back Raise,saaa + kei_iwata + stuv + わかどり,Present,7.0,7,4.4.4
GIMMICK,Ms.Sill,Present,6.5,6,4.4.4
The Survivor (Game Edit),Taishi,Present,6.5,6,4.4.4
New York Back Raise,saaa + kei_iwata + stuv + わかどり,Past,4.5,4,4.4.4
Lost Emotion feat. nomico,Masayoshi Minoshima(ALR),Past,3.5,3,4.4.4
The Survivor (Game Edit),Taishi,Past,3.5,3,4.4.4
GIMMICK,Ms.Sill,Past,2.5,2,4.4.4
Spider's Thread,きくお×cosMo＠暴走P feat.影縫英,Future,10.8,10+,4.4.0
IMPACT,USAO feat. 光吉猛修,Beyond,10.4,10,4.4.0
Trrricksters!!,s-don vs. 翡乃イスカ,Future,10.1,10,4.4.0
Genesis,Morrigan feat.Lily,Future,9.8,9+,4.4.0
Teriqma,owl＊tree,Beyond,9.7,9+,4.4.0
IMPACT,USAO feat. 光吉猛修,Future,9.6,9,4.4.0
Cosmo Pop Funclub,ナユタン星人,Future,8.8,8+,4.4.0
IMPACT,USAO feat. 光吉猛修,Present,7.8,7+,4.4.0
Spider's Thread,きくお×cosMo＠暴走P feat.影縫英,Present,7.8,7+,4.4.0
Trrricksters!!,s-don vs. 翡乃イスカ,Present,7.5,7,4.4.0
Genesis,Morrigan feat.Lily,Present,7.0,7,4.4.0
Cosmo Pop Funclub,ナユタン星人,Present,6.0,6,4.4.0
Spider's Thread,きくお×cosMo＠暴走P feat.影縫英,Past,4.5,4,4.4.0
Trrricksters!!,s-don vs. 翡乃イスカ,Past,4.5,4,4.4.0
Genesis,Morrigan feat.Lily,Past,4.0,4,4.4.0
IMPACT,USAO feat. 光吉猛修,Past,3.5,3,4.4.0
Cosmo Pop Funclub,ナユタン星人,Past,2.5,2,4.4.0
PRIMITIVE LIGHTS,TAG,Future,10.8,10+,4.3.2
Shades of Light in a Transcendent Realm,ak+q,Beyond,9.1,9,4.3.2
PRIMITIVE LIGHTS,TAG,Present,8.8,8+,4.3.2
PRIMITIVE LIGHTS,TAG,Past,5.5,5,4.3.2
TEmPTaTiON,かねこちはる,Future,10.9,10+,4.3.0
Manic Jeer,ルゼ,Future,10.6,10,4.3.0
trappola bewitching,gmtn.,Beyond,10.6,10,4.3.0
Crimson Throne,Dimier√Lisb,Future,10.6,10,4.3.0
[X],Blacklolita,Future,10.6,10,4.3.0
"Hiiro Gekka, Kyoushou no Zetsu (nayuta 2017 ver.)",nayuta x 黒鳥(EastNewSound),Future,10.3,10,4.3.0
MAXRAGE,EBIMAYO,Future,9.9,9+,4.3.0
Let's Rock (Arcaea mix),ikaruga_nex vs FALCHiON,Future,9.7,9+,4.3.0
CYCLES,Masayoshi Minoshima feat. 綾倉盟,Future,8.8,8+,4.3.0
TEmPTaTiON,かねこちはる,Present,8.2,8,4.3.0
Crimson Throne,Dimier√Lisb,Present,8.0,8,4.3.0
Manic Jeer,ルゼ,Present,7.8,7+,4.3.0
[X],Blacklolita,Present,7.8,7+,4.3.0
Let's Rock (Arcaea mix),ikaruga_nex vs FALCHiON,Present,7.0,7,4.3.0
"Hiiro Gekka, Kyoushou no Zetsu (nayuta 2017 ver.)",nayuta x 黒鳥(EastNewSound),Present,6.5,6,4.3.0
MAXRAGE,EBIMAYO,Present,6.5,6,4.3.0
CYCLES,Masayoshi Minoshima feat. 綾倉盟,Present,5.0,5,4.3.0
TEmPTaTiON,かねこちはる,Past,5.0,5,4.3.0
[X],Blacklolita,Past,4.5,4,4.3.0
Crimson Throne,Dimier√Lisb,Past,4.0,4,4.3.0
Manic Jeer,ルゼ,Past,4.0,4,4.3.0
"Hiiro Gekka, Kyoushou no Zetsu (nayuta 2017 ver.)",nayuta x 黒鳥(EastNewSound),Past,3.5,3,4.3.0
MAXRAGE,EBIMAYO,Past,3.5,3,4.3.0
Let's Rock (Arcaea mix),ikaruga_nex vs FALCHiON,Past,3.0,3,4.3.0
CYCLES,Masayoshi Minoshima feat. 綾倉盟,Past,2.0,2,4.3.0
NULL APOPHENIA,N²,Future,10.7,10+,4.2.0
Chronicle,Lime,Future,10.5,10,4.2.0
Astra walkthrough,paraoka,Future,9.9,9+,4.2.0
World Fragments III(radio edit),xi,Future,9.8,9+,4.2.0
MANTIS (Arcaea Ultra-Bloodrush VIP),Akira Complex feat. kiraku,Future,9.4,9,4.2.0
Chronicle,Lime,Present,8.9,8+,4.2.0
NULL APOPHENIA,N²,Present,8.8,8+,4.2.0
"Tsuki ni Murakumo, Hana ni Kaze",幽閉サテライト,Future,8.7,8+,4.2.0
Astra walkthrough,paraoka,Present,7.8,7+,4.2.0
MANTIS (Arcaea Ultra-Bloodrush VIP),Akira Complex feat. kiraku,Present,7.0,7,4.2.0
World Fragments III(radio edit),xi,Present,7.0,7,4.2.0
"Tsuki ni Murakumo, Hana ni Kaze",幽閉サテライト,Present,6.0,6,4.2.0
Chronicle,Lime,Past,5.0,5,4.2.0
Astra walkthrough,paraoka,Past,4.5,4,4.2.0
NULL APOPHENIA,N²,Past,4.5,4,4.2.0
World Fragments III(radio edit),xi,Past,3.5,3,4.2.0
MANTIS (Arcaea Ultra-Bloodrush VIP),Akira Complex feat. kiraku,Past,3.0,3,4.2.0
"Tsuki ni Murakumo, Hana ni Kaze",幽閉サテライト,Past,3.0,3,4.2.0
Party Vinyl,モリモリあつし,Beyond,10.3,10,4.1.6
Capella,ARForest,Future,10.2,10,4.1.6
Dialnote,七草くりむ,Future,8.8,8+,4.1.6
Capella,ARForest,Present,7.8,7+,4.1.6
Dialnote,七草くりむ,Present,6.0,6,4.1.6
Capella,ARForest,Past,4.5,4,4.1.6
Dialnote,七草くりむ,Past,3.0,3,4.1.6
Free Myself,lapix feat. mami,Future,10.0,10,4.1.4
FREEF4LL,YUKIYANAGI,Beyond,9.8,9+,4.1.4
cocoro*cosmetic,KOTONOHOUSE,Future,9.2,9,4.1.4
Free Myself,lapix feat. mami,Present,7.5,7,4.1.4
cocoro*cosmetic,KOTONOHOUSE,Present,7.0,7,4.1.4
Free Myself,lapix feat. mami,Past,4.5,4,4.1.4
cocoro*cosmetic,KOTONOHOUSE,Past,3.0,3,4.1.4
LAMIA,BlackY,Future,11.0,11,4.1.0
"Good bye, Merry-Go-Round.",Yooh,Future,10.6,10,4.1.0
Ai Drew,Feryquitous,Future,9.8,9+,4.1.0
FLUFFY FLASH,Kobaryo,Future,9.8,9+,4.1.0
Heart,削除 (Violin : Katali),Future,9.6,9,4.1.0
LAMIA,BlackY,Present,8.5,8,4.1.0
"Good bye, Merry-Go-Round.",Yooh,Present,7.5,7,4.1.0
Ai Drew,Feryquitous,Present,6.5,6,4.1.0
FLUFFY FLASH,Kobaryo,Present,6.5,6,4.1.0
Heart,削除 (Violin : Katali),Present,5.0,5,4.1.0
LAMIA,BlackY,Past,5.0,5,4.1.0
"Good bye, Merry-Go-Round.",Yooh,Past,4.5,4,4.1.0
Ai Drew,Feryquitous,Past,3.5,3,4.1.0
FLUFFY FLASH,Kobaryo,Past,3.5,3,4.1.0
Heart,削除 (Violin : Katali),Past,1.0,1,4.1.0
Callima Karma,t+pazolite vs Feryquitous,Future,9.8,9+,4.0.255
Last | Eternity,onoken,Beyond,9.7,9+,4.0.255
Loveless Dress,かねこちはる,Future,9.7,9+,4.0.255
Last | Moment,onoken,Beyond,9.6,9,4.0.255
Last,onoken,Future,9.0,9,4.0.255
Callima Karma,t+pazolite vs Feryquitous,Present,7.5,7,4.0.255
Last,onoken,Present,7.0,7,4.0.255
Loveless Dress,かねこちはる,Present,6.5,6,4.0.255
Last,onoken,Past,4.0,4,4.0.255
Callima Karma,t+pazolite vs Feryquitous,Past,3.5,3,4.0.255
Loveless Dress,かねこちはる,Past,3.5,3,4.0.255
Testify,void (Mournfinale) feat. 星熊南巫,Beyond,12.0,12,4.0.0
Arcana Eden,Team Grimoire vs Sakuzyo vs Laur,Beyond,11.6,11,4.0.0
Pentiment,Nothing But Requiem with Museo,Beyond,11.5,11,4.0.0
World Ender,sasakure.UK × TJ.hangneil,Beyond,11.1,11,4.0.0
"Infinite Strife,",BlackYooh vs. siromaru,Beyond,10.9,10+,4.0.0
Testify,void (Mournfinale) feat. 星熊南巫,Future,10.9,10+,4.0.0
Arcana Eden,Team Grimoire vs Sakuzyo vs Laur,Future,10.5,10,4.0.0
PUPA,モリモリあつし,Future,10.4,10,4.0.0
Pentiment,Nothing But Requiem with Museo,Future,10.4,10,4.0.0
World Ender,sasakure.UK × TJ.hangneil,Future,10.0,10,4.0.0
"Infinite Strife,",BlackYooh vs. siromaru,Future,9.9,9+,4.0.0
Trap Crow,Puru,Future,9.9,9+,4.0.0
Defection,TeddyLoid feat. DELTA,Future,9.8,9+,4.0.0
Testify,void (Mournfinale) feat. 星熊南巫,Present,9.4,9,4.0.0
Redraw the Colorless World,MisomyL,Future,9.4,9,4.0.0
Arcana Eden,Team Grimoire vs Sakuzyo vs Laur,Present,8.7,8+,4.0.0
Pentiment,Nothing But Requiem with Museo,Present,8.7,8+,4.0.0
Altair (feat. *spiLa*),kamome sano & you,Future,8.5,8,4.0.0
PUPA,モリモリあつし,Present,7.8,7+,4.0.0
Trap Crow,Puru,Present,7.8,7+,4.0.0
World Ender,sasakure.UK × TJ.hangneil,Present,7.8,7+,4.0.0
Testify,void (Mournfinale) feat. 星熊南巫,Past,7.8,7+,4.0.0
"Infinite Strife,",BlackYooh vs. siromaru,Present,7.5,7,4.0.0
Pentiment,Nothing But Requiem with Museo,Past,7.0,7,4.0.0
Defection,TeddyLoid feat. DELTA,Present,6.5,6,4.0.0
Redraw the Colorless World,MisomyL,Present,6.5,6,4.0.0
Altair (feat. *spiLa*),kamome sano & you,Present,6.0,6,4.0.0
Arcana Eden,Team Grimoire vs Sakuzyo vs Laur,Past,5.5,5,4.0.0
Trap Crow,Puru,Past,4.5,4,4.0.0
"Infinite Strife,",BlackYooh vs. siromaru,Past,4.0,4,4.0.0
PUPA,モリモリあつし,Past,4.0,4,4.0.0
Redraw the Colorless World,MisomyL,Past,4.0,4,4.0.0
World Ender,sasakure.UK × TJ.hangneil,Past,4.0,4,4.0.0
Defection,TeddyLoid feat. DELTA,Past,3.5,3,4.0.0
Altair (feat. *spiLa*),kamome sano & you,Past,2.5,2,4.0.0
μ,Frums,Future,9.7,9+,3.12.10
san skia,ユアミトス,Future,8.3,8,3.12.10
μ,Frums,Present,7.5,7,3.12.10
